x,f(x)
-2,0.45765756
-1.9,0.34163536
-1.8,0.23330353
-1.7,0.12992746
-1.6,0.02921198
-1.5,-0.07091484
-1.4,-0.17247672
-1.3,-0.27761565
-1.2,-0.38877956
-1.1,-0.50896810
-1.0,-0.64209262
-0.9,-0.79355115
-0.8,-0.97121460
-0.7,-1.18724183
-0.6,-1.46169595
-0.5,-1.83048771
-0.4,-2.36522242
-0.3,-3.23272811
-0.2,-4.93315491
-0.1,-9.96664414
0.1,9.96664414
0.2,4.93315491
0.3,3.23272811
0.4,2.36522242
0.5,1.83048771
0.6,1.46169595
0.7,1.18724183
0.8,0.97121460
0.9,0.79355115
1.0,0.64209262
1.1,0.50896810
1.2,0.38877956
1.3,0.27761565
1.4,0.17247672
1.5,0.07091484
1.6,-0.02921198
1.7,-0.12992746
1.8,-0.23330354
1.9,-0.34163536
2.0,-0.45765756
