x,f(x)
-2,-1.09975017
-1.9,-1.05674723
-1.8,-1.02685468
-1.7,-1.00840525
-1.6,-1.00042658
-1.5,-1.00251130
-1.4,-1.01476511
-1.3,-1.03782004
-1.2,-1.07291637
-1.1,-1.12207332
-1.0,-1.18839511
-0.9,-1.27660621
-0.8,-1.39400782
-0.7,-1.55227032
-0.6,-1.77103221
-0.5,-2.08582964
-0.4,-2.56793247
-0.3,-3.38386332
-0.2,-5.03348957
-0.1,-10.01668580
0.1,10.01668580
0.2,5.03348957
0.3,3.38386332
0.4,2.56793247
0.5,2.08582964
0.6,1.77103221
0.7,1.55227032
0.8,1.39400782
0.9,1.27660621
1.0,1.18839511
1.1,1.12207332
1.2,1.07291637
1.3,1.03782004
1.4,1.01476511
1.5,1.00251130
1.6,1.00042658
1.7,1.00840525
1.8,1.02685468
1.9,1.05674723
2.0,1.09975017
