x,f(x)
-10,-0.64163676
-9.999,-0.65502900
-9.998,-0.66870252
-9.997,-0.68266273
-9.996,-0.69691565
-9.995,-0.71146692
-9.994,-0.72632260
-9.993,-0.74148890
-9.992,-0.75697203
-9.991,-0.77277805
-9.990,-0.78891373
-9.989,-0.80538544
-9.988,-0.82219970
-9.987,-0.83936358
-9.986,-0.85688383
-9.985,-0.87476739
-9.984,-0.89302133
-9.983,-0.91165314
-9.982,-0.93066992
-9.981,-0.95007931
-9.980,-0.96988882
-9.979,-0.99010624
-9.978,-1.01073933
-9.977,-1.03179635
-9.976,-1.05328490
-9.975,-1.07521366
-9.974,-1.09759085
-9.973,-1.12042484
-9.972,-1.14372449
-9.971,-1.16749839
-9.970,-1.19175516
-9.969,-1.21650412
-9.968,-1.24175441
-9.967,-1.26751514
-9.966,-1.29379568
-9.965,-1.32060565
-9.964,-1.34795454
-9.963,-1.37585201
-9.962,-1.40430826
-9.961,-1.43333320
-9.960,-1.46293689
-9.959,-1.49312965
-9.958,-1.52392162
-9.957,-1.55532364
-9.956,-1.58734581
-9.955,-1.61999932
-9.954,-1.65329503
-9.953,-1.68724346
-9.952,-1.72185616
-9.951,-1.75714377
-9.950,-1.79311776
-9.949,-1.82978931
-9.948,-1.86717030
-9.947,-1.90527150
-9.946,-1.94410479
-9.945,-1.98368223
-9.944,-2.02401511
-9.943,-2.06511540
-9.942,-2.10699419
-9.941,-2.14966480
-9.940,-2.19313751
-9.939,-2.23742520
-9.938,-2.28253952
-9.937,-2.32849321
-9.936,-2.37529667
-9.935,-2.42296304
-9.934,-2.47150371
-9.933,-2.52093088
-9.932,-2.57125578
-9.931,-2.62249070
-9.930,-2.67464736
-9.929,-2.72773689
-9.928,-2.78177072
-9.927,-2.83675995
-9.926,-2.89271670
-9.925,-2.94965124
-9.924,-3.00757372
-9.923,-3.06649566
-9.922,-3.12642693
-9.921,-3.18737748
-9.920,-3.24935652
-9.919,-3.31237446
-9.918,-3.37644008
-9.917,-3.44156119
-9.916,-3.50774644
-9.915,-3.57500340
-9.914,-3.64333922
-9.913,-3.71276122
-9.912,-3.78327445
-9.911,-3.85488496
-9.910,-3.92759726
-9.909,-4.00141514
-9.908,-4.07634260
-9.907,-4.15238162
-9.906,-4.22953332
-9.905,-4.30779860
-9.904,-4.38717653
-9.903,-4.46766648
-9.902,-4.54926437
-9.901,-4.63196716
-9.900,-4.71577020
-9.899,-4.80066544
-9.898,-4.88664524
-9.897,-4.97369988
-9.896,-5.06181870
-9.895,-5.15098754
-9.894,-5.24119273
-9.893,-5.33241464
-9.892,-5.42463735
-9.891,-5.51783754
-9.890,-5.61199229
-9.889,-5.70707440
-9.888,-5.80305743
-9.887,-5.89990774
-9.886,-5.99759113
-9.885,-6.09607154
-9.884,-6.19530637
-9.883,-6.29525243
-9.882,-6.39586182
-9.881,-6.49708297
-9.880,-6.59886058
-9.879,-6.70113390
-9.878,-6.80383876
-9.877,-6.90690664
-9.876,-7.01026352
-9.875,-7.11382929
-9.874,-7.21752055
-9.873,-7.32124549
-9.872,-7.42490899
-9.871,-7.52840808
-9.870,-7.63163156
-9.869,-7.73446390
-9.868,-7.83678140
-9.867,-7.93845063
-9.866,-8.03933391
-9.865,-8.13928108
-9.864,-8.23813420
-9.863,-8.33572579
-9.862,-8.43187999
-9.861,-8.52640809
-9.860,-8.61911229
-9.859,-8.70978164
-9.858,-8.79819242
-9.857,-8.88411193
-9.856,-8.96729025
-9.855,-9.04746456
-9.854,-9.12435807
-9.853,-9.19767793
-9.852,-9.26711503
-9.851,-9.33234366
-9.850,-9.39301858
-9.849,-9.44877894
-9.848,-9.49924109
-9.847,-9.54400214
-9.846,-9.58263746
-9.845,-9.61470029
-9.844,-9.63971822
-9.843,-9.65719718
-9.842,-9.66661252
-9.841,-9.66741582
-9.840,-9.65902908
-9.839,-9.64084201
-9.838,-9.61221458
-9.837,-9.57247460
-9.836,-9.52091175
-9.835,-9.45678181
-9.834,-9.37930063
-9.833,-9.28764862
-9.832,-9.18095581
-9.831,-9.05831602
-9.830,-8.91877124
-9.829,-8.76131951
-9.828,-8.58490562
-9.827,-8.38841792
-9.826,-8.17069774
-9.825,-7.93052110
-9.824,-7.66660521
-9.823,-7.37759870
-9.822,-7.06209008
-9.821,-6.71859414
-9.820,-6.34554356
-9.819,-5.94131042
-9.818,-5.50416912
-9.817,-5.03232182
-9.816,-4.52386882
-9.815,-3.97682221
-9.814,-3.38910840
-9.813,-2.75852273
-9.812,-2.08278523
-9.811,-1.35947660
-9.810,-0.58606983
-9.809,0.24008017
-9.808,1.12176478
-9.807,2.06189112
-9.806,3.06353176
-9.805,4.12989816
-9.804,5.26436439
-9.803,6.47045020
-9.802,7.75186012
-9.801,9.11251470
-9.800,10.55645929
-9.799,12.08799418
-9.798,13.71160184
-9.797,15.43196512
-9.796,17.25406367
-9.795,19.18304298
-9.794,21.22435933
-9.793,23.38368982
-9.792,25.66702511
-9.791,28.08062323
-9.790,30.63104223
-9.789,33.32521927
-9.788,36.17032474
-9.787,39.17401355
-9.786,42.34417966
-9.785,45.68919594
-9.784,49.21781302
-9.783,52.93920732
-9.782,56.86305030
-9.781,60.99933993
-9.780,65.35879891
-9.779,69.95243714
-9.778,74.79197793
-9.777,79.88964535
-9.776,85.25827271
-9.775,90.91124753
-9.774,96.86283697
-9.773,103.12778738
-9.772,109.72158811
-9.771,116.66065345
-9.770,123.96214132
-9.769,131.64377845
-9.768,139.72470385
-9.767,148.22455766
-9.766,157.16401730
-9.765,166.56508239
-9.764,176.45036757
-9.763,186.84409138
-9.762,197.77143644
-9.761,209.25870244
-9.760,221.33367884
-9.759,234.02549502
-9.758,247.36493925
-9.757,261.38392009
-9.756,276.11617063
-9.755,291.59726311
-9.754,307.86419027
-9.753,324.95614230
-9.752,342.91409516
-9.751,361.78103622
-9.750,381.60224669
-9.749,402.42530339
-9.748,424.29986633
-9.747,447.27874105
-9.746,471.41674117
-9.745,496.77189126
-9.744,523.40488925
-9.743,551.37975200
-9.742,580.76360517
-9.741,611.62683952
-9.740,644.04380602
-9.739,678.09255888
-9.738,713.85521111
-9.737,751.41735878
-9.736,790.86963576
-9.735,832.30803113
-9.734,875.83180153
-9.733,921.54709918
-9.732,969.56394849
-9.731,1019.99916409
-9.730,1072.97551286
-9.729,1128.62168506
-9.728,1187.07325543
-9.727,1248.47327729
-9.726,1312.97176575
-9.725,1380.72630619
-9.724,1451.90362525
-9.723,1526.67850254
-9.722,1605.23608906
-9.721,1687.76907645
-9.720,1774.48227341
-9.719,1865.59099094
-9.718,1961.32211864
-9.717,2061.91262546
-9.716,2167.61547932
-9.715,2278.69310674
-9.714,2395.42757112
-9.713,2518.10967726
-9.712,2647.05008199
-9.711,2782.57387965
-9.710,2925.02728475
-9.709,3074.77093322
-9.708,3232.18694872
-9.707,3397.67847729
-9.706,3571.67063565
-9.705,3754.61091673
-9.704,3946.97095725
-9.703,4149.24980075
-9.702,4361.97152577
-9.701,4585.69229554
-9.700,4820.99788068
-9.699,5068.50492836
-9.698,5328.86765512
-9.697,5602.76923870
-9.696,5890.93861013
-9.695,6194.14436003
