x,f(x)
-2,-2.40299794
-1.9,-3.09320217
-1.8,-4.40136796
-1.7,-7.76129425
-1.6,-34.24713831
-1.5,14.13683324
-1.4,5.88349019
-1.3,3.73833411
-1.2,2.75970364
-1.1,2.20460440
-1.0,1.85081570
-0.9,1.60872581
-0.8,1.43532420
-0.7,1.30745926
-0.6,1.21162832
-0.5,1.13949393
-0.4,1.08570443
-0.3,1.04675160
-0.2,1.02033884
-0.1,1.00502091
0.0,1.00000000
0.1,1.00502091
0.2,1.02033884
0.3,1.04675160
0.4,1.08570443
0.5,1.13949393
0.6,1.21162832
0.7,1.30745926
0.8,1.43532420
0.9,1.60872581
1.0,1.85081570
1.1,2.20460440
1.2,2.75970364
1.3,3.73833411
1.4,5.88349019
1.5,14.13683324
1.6,-34.24713831
1.7,-7.76129425
1.8,-4.40136777
1.9,-3.09320217
2.0,-2.40299794
