x,f(x)
-2,-0.90929743
-1.9,-0.94630009
-1.8,-0.97384763
-1.7,-0.99166481
-1.6,-0.99957360
-1.5,-0.99749499
-1.4,-0.98544973
-1.3,-0.96355819
-1.2,-0.93203909
-1.1,-0.89120736
-1.0,-0.84147098
-0.9,-0.78332691
-0.8,-0.71735609
-0.7,-0.64421769
-0.6,-0.56464247
-0.5,-0.47942554
-0.4,-0.38941834
-0.3,-0.29552021
-0.2,-0.19866933
-0.1,-0.09983342
0.0,0E-8
0.1,0.09983342
0.2,0.19866933
0.3,0.29552021
0.4,0.38941834
0.5,0.47942554
0.6,0.56464247
0.7,0.64421769
0.8,0.71735609
0.9,0.78332691
1.0,0.84147098
1.1,0.89120736
1.2,0.93203909
1.3,0.96355819
1.4,0.98544973
1.5,0.99749499
1.6,0.99957360
1.7,0.99166481
1.8,0.97384763
1.9,0.94630009
2.0,0.90929743
