x,f(x)
-2,2.18503985
-1.9,2.92709749
-1.8,4.28626176
-1.7,7.69660239
-1.6,34.23253533
-1.5,-14.10142033
-1.4,-5.79788381
-1.3,-3.60210245
-1.2,-2.57215167
-1.1,-1.96475966
-1.0,-1.55740770
-0.9,-1.26015821
-0.8,-1.02963855
-0.7,-0.84228838
-0.6,-0.68413681
-0.5,-0.54630249
-0.4,-0.42279322
-0.3,-0.30933625
-0.2,-0.20271003
-0.1,-0.10033467
0.0,0E-8
0.1,0.10033467
0.2,0.20271003
0.3,0.30933625
0.4,0.42279322
0.5,0.54630249
0.6,0.68413681
0.7,0.84228838
0.8,1.02963855
0.9,1.26015821
1.0,1.55740770
1.1,1.96475966
1.2,2.57215167
1.3,3.60210245
1.4,5.79788381
1.5,14.10142033
1.6,-34.23253533
1.7,-7.69660239
1.8,-4.28626157
1.9,-2.92709749
2.0,-2.18503985
