x,f(x)
-6.4000000000000003552713678800500929355621337890625,-239929603.68923333
-6.3900000000000003552713678800500929355621337890625,-553413343.74545633
-6.3800000000000003552713678800500929355621337890625,-1371949263.51481684
-6.3700000000000003552713678800500929355621337890625,-3722482147.27058580
-6.3600000000000003552713678800500929355621337890625,-11326911355.81039589
-6.3500000000000003552713678800500929355621337890625,-39996040851.61639151
-6.3400000000000003552713678800500929355621337890625,-172380123228.50107091
-6.3300000000000003552713678800500929355621337890625,-982065348600.66362099
-6.3200000000000003552713678800500929355621337890625,-8485002634416.88078998
-6.3100000000000003552713678800500929355621337890625,-145607877346884.64240949
-6.3000000000000003552713678800500929355621337890625,-9584536982318824.32000036
-6.2900000000000003552713678800500929355621337890625,-31959977710913627209.88791621
-6.2800000000000003552713678800500929355621337890625,29431234448053323967896.81467393
-6.2700000000000003552713678800500929355621337890625,80660617125869511.13514929
-6.2600000000000003552713678800500929355621337890625,489420303908329.02389088
-6.2500000000000003552713678800500929355621337890625,18883043516971.77381172
-6.2400000000000003552713678800500929355621337890625,1711816331239.24300597
-6.2300000000000003552713678800500929355621337890625,254214724905.08024083
-6.2200000000000003552713678800500929355621337890625,52072364409.50998773
-6.2100000000000003552713678800500929355621337890625,13371342612.45659848
-6.2000000000000003552713678800500929355621337890625,4059260554.06167523
-3.20000000000000017763568394002504646778106689453125,76860016545.40048926
-3.19000000000000017763568394002504646778106689453125,455665504748.03827939
-3.18000000000000017763568394002504646778106689453125,3992363309060.90718558
-3.17000000000000017763568394002504646778106689453125,65672850988882.53783315
-3.16000000000000017763568394002504646778106689453125,3546971629823281.11441360
-3.15000000000000017763568394002504646778106689453125,4452411307643827717.39116868
-3.14000000000000017763568394002504646778106689453125,-15361759497364405990669664.41070543
-3.13000000000000017763568394002504646778106689453125,-289827940877017779.92713192
-3.12000000000000017763568394002504646778106689453125,-1160297165670637.92203267
-3.11000000000000017763568394002504646778106689453125,-40726740924555.26654900
-3.10000000000000017763568394002504646778106689453125,-3690970126608.95338682
-3.09000000000000017763568394002504646778106689453125,-570755030220.58598760
-3.08000000000000017763568394002504646778106689453125,-124381948810.30495933
-3.07000000000000017763568394002504646778106689453125,-34420320146.58385124
-3.06000000000000017763568394002504646778106689453125,-11356126581.85247541
-3.05000000000000017763568394002504646778106689453125,-4287031337.91476391
-3.04000000000000017763568394002504646778106689453125,-1800180357.31495637
-3.03000000000000017763568394002504646778106689453125,-823949062.88283633
-3.02000000000000017763568394002504646778106689453125,-404925286.04826126
-3.01000000000000017763568394002504646778106689453125,-211231726.22916399
-3.00000000000000017763568394002504646778106689453125,-115922833.25345694
